Type,Broad Category,,Category,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4
Work,Tier 1 - PBS,Main,Tier 1 - Exceptional Talent.,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,0,*,10,20,5,5,0,0,*,0,0,*,5,10,5,5,*,10,5,25,25,25,30
Work,Tier 2 - PBS,Main,Tier 2 - General,z,z,z,z,z,z,z,*,965,"2,000","3,170","2,830","3,560","3,770","4,310","2,320","2,430","2,440","2,980","2,250","2,690","3,070","5,370","2,950","3,760","3,880","5,150","3,610","4,520","4,590","6,700","5,850","7,120","5,560","7,030","5,710","6,280","6,370","6,760","4,890"
Work,Tier 2 - PBS,Main,Tier 2 - Intra Company Transfer,z,z,z,z,z,z,z,*,"1,990","3,470","4,450","4,240","5,620","5,310","5,930","4,560","5,790","5,480","6,000","4,640","5,800","5,650","6,030","4,380","5,530","5,990","6,690","5,290","6,620","6,400","6,870","5,200","6,390","6,630","7,390","5,520","7,010","6,350","6,610","5,320"
Work,Tier 2 - PBS,Main,Tier 2 - Minister of Religion,z,z,z,z,z,z,z,0,50,140,170,140,240,245,185,125,115,95,135,115,155,140,190,145,155,145,180,145,145,150,180,135,205,145,205,185,195,200,260,195
Work,Tier 2 - PBS,Main,Tier 2 - Sportsperson,z,z,z,z,z,z,z,0,60,195,375,300,300,400,520,345,305,340,320,270,270,280,345,185,220,260,235,105,130,245,310,190,265,285,355,240,315,300,370,305
Work,Tier 5 - PBS,Main,Tier 5 - Charity Workers,z,z,z,z,z,z,z,*,155,205,465,165,375,260,465,170,380,215,355,110,360,200,340,80,260,175,365,100,275,200,370,110,310,160,360,100,200,120,260,90
Work,Tier 5 - PBS,Main,Tier 5 - Creative and Sporting,z,z,z,z,z,z,z,40,"1,690","5,770","4,950","5,040","4,430","7,630","6,630","6,520","5,220","8,460","6,510","6,030","5,350","8,490","6,600","6,610","5,540","9,050","7,880","7,220","6,340","9,390","8,320","6,980","5,650","8,630","7,780","6,200","5,470","9,410","7,590","6,510"
Work,Tier 5 - PBS,Main,Tier 5 - Government Authorised Exchange,z,z,z,z,z,z,z,*,60,180,490,330,385,570,780,515,420,600,710,395,465,830,985,555,445,805,920,455,565,930,"1,220",555,775,"1,070","1,160",460,615,895,"1,130",620
Work,Tier 5 - PBS,Main,Tier 5 - International Agreement,z,z,z,z,z,z,z,0,45,90,140,80,70,65,175,60,65,85,145,50,50,85,95,40,65,80,105,55,45,45,85,45,50,40,95,35,40,40,100,25
Work,Tier 5 - PBS,Main,Tier 5 - Religious Workers,z,z,z,z,z,z,z,*,60,240,695,375,495,720,975,500,565,730,910,460,680,755,795,460,570,"1,080","1,230",515,555,830,"1,090",485,675,700,"1,030",430,625,720,990,460
Work,Tier 5 - PBS,Main,Tier 5 - Youth Mobility Scheme ,z,z,z,z,z,z,z,15,"2,120","5,070","4,960","2,820","3,830","5,550","4,550","2,580","4,060","5,400","4,160","2,480","3,600","4,870","3,950","2,310","3,320","4,340","4,530","2,900","3,490","4,670","5,040","3,070","4,290","5,180","5,740","3,460","4,000","4,800","4,720","3,030"
Work,Pre-PBS and Non-PBS,Main,Work Permit holders,"22,700","23,800","24,300","18,400","19,300","22,700","22,200","17,800","8,730","3,050","1,500",925,795,850,640,360,270,285,200,185,140,135,75,50,25,25,10,15,5,10,10,15,5,5,*,5,*,10,5,*
Work,Pre-PBS and Non-PBS,Main,UK ancestry ,"1,870","2,290","1,980","1,310","1,660","2,060","1,740","1,250","1,300","1,270","1,150",720,940,"1,270","1,130",675,985,"1,020",945,550,785,845,710,520,700,795,770,500,660,690,750,530,780,760,885,530,720,725,705,490
Work,Pre-PBS and Non-PBS,Main,Domestic Workers,"1,580","2,800","5,250","1,660","1,490","3,140","5,150","1,700","1,570","3,120","3,790","1,620","1,420","3,490","4,440","1,790","1,530","3,920","3,480","1,780","1,580","3,220","2,650","1,590","1,340","2,720","3,850","1,850","1,300","1,970","3,750","1,460","1,320","1,650","4,320","1,450","1,360","1,580","4,150","1,560"
Work,Pre-PBS and Non-PBS,All,Other work categories,"12,700","21,100","13,600","9,760","11,600","13,900","12,400","9,110","6,640","5,590","4,600","3,240","2,150","1,620","2,070","1,460","1,110","1,620","1,690","1,140","1,050","1,460","2,410","1,380","2,280","3,120","3,870","2,600","1,950","2,910","4,860","3,650","3,620","3,710","4,150","4,120","4,190","15,800","6,780","4,770"
Work,Pre-PBS and Non-PBS,Dependant,Work Permit holders,"10,400","10,000","10,900","7,240","7,410","8,040","8,990","6,740","5,390","3,980","3,040","1,840","1,580","1,340","1,000",735,575,515,375,270,210,195,165,70,60,25,5,5,10,15,15,15,10,10,10,5,*,*,5,*
Work,Pre-PBS and Non-PBS,Dependant,UK ancestry ,85,95,90,50,70,100,120,75,80,60,50,50,50,50,40,30,50,45,50,25,25,35,70,70,60,55,65,25,55,30,55,50,65,45,70,45,65,55,100,65
Study,Tier 4 - PBS,Main,Tier 4 - General Student,z,z,z,z,z,z,z,z,z,"6,650","119,000","60,100","53,300","23,400","123,000","42,200","52,400","32,600","114,000","23,600","24,100","16,200","115,000","18,700","20,600","16,000","117,000","19,400","21,400","16,500","116,000","18,000","16,900","14,800","119,000","16,600","13,400","13,600","121,000","16,500"
Study,Tier 4 - PBS,Main,Tier 4 - Child Student,z,z,z,z,z,z,z,z,z,105,"1,970",290,270,175,"1,280",185,355,275,"2,120",170,440,305,"3,420",430,635,395,"4,350",725,795,435,"4,930",560,620,340,"5,620",480,605,395,"4,320",360
Study,Tier 4 - PBS,Dependant,Tier 4 - Dependants,z,z,z,z,z,z,z,z,*,455,"4,880","5,340","4,870","3,340","7,350","6,040","6,170","4,520","5,850","2,760","2,630","1,480","4,860","2,420","2,820","1,930","6,060","3,340","3,310","1,720","5,230","3,160","3,040","1,320","4,860","2,050","1,860",900,"4,010","2,000"
Study,Pre-PBS and Non-PBS,Main,Students,"65,200","94,700","158,000","40,000","46,100","31,600","115,000","34,800","44,700","17,200","14,000","6,200","8,610","7,930","4,430","7,540","7,500","6,220","4,750","3,140","3,580","6,880","6,360","4,110","1,300","2,630","1,160",270,255,185,475,515,10,*,25,20,30,15,50,10
Study,Pre-PBS and Non-PBS,Dependant,Students,"3,820","2,860","6,610","3,810","4,080","3,490","7,130","5,640","4,680","2,700","2,000","1,100",740,420,375,205,120,55,70,35,10,35,50,5,10,*,5,*,*,5,5,5,5,5,5,5,20,35,65,*
Study,Non PBS,Main,Short-term study (previously Student Visitors),z,z,"1,700","1,680","21,100","40,000","65,100","17,100","31,800","44,500","89,900","31,600","46,700","58,800","93,500","41,300","50,600","60,300","103,000","48,100","61,500","82,800","117,000","38,200","52,300","61,000","101,000","48,400","66,800","77,300","90,800","44,800","66,600","82,700","103,000","54,700","68,600","68,800","71,400","41,600"
Family,-,Main,Admitted as a spouse or fiancé(e),"10,900","10,500","12,100","9,820","9,410","9,570","9,540","8,350","7,700","6,950","6,280","7,700","6,760","6,380","7,130","7,820","6,590","5,160","6,070","6,230","5,050","5,190","5,420","5,290","3,310","3,530","4,350","4,560","3,980","4,590","3,630","3,740","4,000","3,760","4,010","4,290","3,960","3,820","3,790","4,460"
Family,-,Main,Civil and unmarried partners and proposed civil partners,360,545,680,495,445,455,645,735,650,540,635,725,685,750,795,880,795,540,640,670,530,480,595,600,335,390,500,475,370,410,495,485,490,475,505,700,340,355,385,480
Family,-,Main,Child - dependant of persons settled for a probationary period ,"1,460","1,840","2,200","1,840","1,460","1,540","1,860","1,440","1,230","1,350","1,540","1,310","1,350","1,330","1,780","1,720","1,650","1,250","1,300","1,360","1,000","1,010","1,120","1,010",745,805,995,995,835,725,795,690,610,690,800,640,540,515,620,555
Family,-,Main,Granted settlement on arrival,"1,380","2,440","2,570","1,570","1,570","1,960","2,220","1,340","1,170","1,380","1,250","1,200","1,240","1,400","1,810","1,540","1,490","1,650","1,450",840,"1,160",845,"1,530",835,530,420,690,460,355,290,240,125,190,165,160,120,125,100,105,135
Visitor,-,Main,Ordinary,"893,000","1,660,000","2,100,000","1,140,000","852,000","1,550,000","1,860,000","1,070,000","767,000","1,510,000","1,970,000","1,150,000","844,000","1,460,000","1,990,000","1,220,000","912,000","1,930,000","2,190,000","1,210,000","944,000","1,800,000","2,020,000","1,290,000","1,070,000","2,070,000","2,440,000","1,430,000","1,050,000","2,190,000","2,760,000","1,470,000","1,270,000","2,150,000","2,730,000","1,580,000","1,240,000","2,240,000","3,280,000","2,020,000"
Visitor,-,Main,Business ,"405,000","480,000","440,000","436,000","394,000","480,000","416,000","357,000","321,000","399,000","380,000","366,000","342,000","401,000","403,000","381,000","349,000","456,000","445,000","417,000","375,000","455,000","414,000","385,000","331,000","464,000","464,000","426,000","357,000","466,000","435,000","416,000","354,000","467,000","471,000","421,000","300,000","321,000","351,000","392,000"
Other,-,Main,Passengers in transit,"289,000","457,000","514,000","333,000","276,000","410,000","425,000","267,000","229,000","339,000","362,000","246,000","213,000","306,000","368,000","245,000","210,000","316,000","360,000","249,000","224,000","324,000","324,000","228,000","198,000","318,000","394,000","279,000","258,000","338,000","346,000","258,000","237,000","335,000","367,000","254,000","154,000","157,000","235,000","197,000"
Other,-,Main,Passengers returning after a temporary absence abroad,"833,000","925,000","930,000","743,000","893,000","915,000","930,000","706,000","818,000","871,000","942,000","737,000","829,000","879,000","909,000","694,000","821,000","911,000","880,000","667,000","826,000","847,000","841,000","614,000","735,000","834,000","890,000","666,000","771,000","899,000","876,000","691,000","814,000","961,000","986,000","747,000","956,000","1,280,000","1,160,000","909,000"
Other,-,Main,Others given leave to enter,"39,500","43,300","51,100","38,800","40,600","45,100","54,700","35,600","32,800","47,200","79,600","55,100","49,800","80,900","78,900","65,400","45,200","83,200","91,200","73,200","51,500","101,000","88,100","73,200","38,700","108,000","115,000","90,000","56,200","118,000","120,000","104,000","65,100","151,000","153,000","92,900","64,900","139,000","160,000","114,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
