Year,Geographical region,Country of nationality,Total,Work,Study,Family,Other 
 2004,Middle East,Iran,"52,900",285,"1,520",375,"50,700"
 2004,Middle East,Iraq,"12,000",55,225,640,"11,100"
 2004,EU 14,Ireland,z,z,z,z,z
 2004,Middle East,Israel,"182,000",770,"1,650",160,"180,000"
 2004,EU 14,Italy,z,z,z,z,z
 2004,Africa Sub-Saharan,Ivory Coast,"8,340",45,325,30,"7,950"
 2004,America Central and South,Jamaica,"19,900",735,320,365,"18,500"
 2004,Asia East,Japan,"593,000","4,820","23,900",450,"564,000"
 2004,Middle East,Jordan,"20,800",195,"1,070",85,"19,400"
 2004,Asia Central,Kazakhstan,"12,500",220,"1,980",60,"10,200"
 2004,Africa Sub-Saharan,Kenya,"47,600",805,"1,200",445,"45,100"
 2004,Oceania,Kiribati,165,0,0,0,165
 2004,Asia East,Korea (North),"1,080",*,55,0,"1,030"
 2004,Asia East,Korea (South),"216,000",905,"9,500",105,"205,000"
 2004,Europe Other,Kosovo,z,z,z,z,z
 2004,Middle East,Kuwait,"54,600",135,985,60,"53,400"
 2004,Asia Central,Kyrgyzstan,"1,510",20,105,15,"1,360"
 2004,Asia South East,Laos,235,0,10,15,205
 2004,EU 8,Latvia,"12,200","1,600",220,15,"10,400"
 2004,Middle East,Lebanon,"22,900",295,415,130,"22,100"
 2004,Africa Sub-Saharan,Lesotho,795,75,20,*,700
 2004,Africa Sub-Saharan,Liberia,"1,040",*,25,50,965
 2004,Africa North,Libya,"11,200",120,"2,930",55,"8,070"
 2004,Europe Other,Liechtenstein,z,z,z,z,z
 2004,EU 8,Lithuania,"19,000","1,190",465,50,"17,300"
 2004,EU 14,Luxembourg,z,z,z,z,z
 2004,Asia East,Macau,520,5,55,*,455
 2004,Europe Other,Macedonia,"5,800",135,150,35,"5,480"
 2004,Africa Sub-Saharan,Madagascar,410,15,15,5,375
 2004,Africa Sub-Saharan,Malawi,"6,480",250,575,35,"5,620"
 2004,Asia South East,Malaysia,"173,000","2,800","6,850",220,"163,000"
 2004,Asia South,Maldives,"1,330",125,145,5,"1,060"
 2004,Africa Sub-Saharan,Mali,775,45,25,5,700
 2004,EU Other,Malta,"15,100",75,105,5,"15,000"
 2004,Oceania,Marshall Islands,15,0,0,0,15
 2004,America Central and South,Martinique,0,0,0,0,0
 2004,Africa North,Mauritania,620,5,15,*,595
 2004,Africa Sub-Saharan,Mauritius,"37,400",390,"2,340",230,"34,500"
 2004,Africa Sub-Saharan,Mayotte,0,0,0,0,0
 2004,America Central and South,Mexico,"103,000",390,"4,010",130,"98,900"
 2004,Oceania,Micronesia,20,0,0,0,20
 2004,Europe Other,Moldova,"3,920",690,245,35,"2,950"
 2004,Europe Other,Monaco,890,*,15,*,870
 2004,Asia East,Mongolia,"2,830",60,190,20,"2,560"
 2004,Europe Other,Montenegro,z,z,z,z,z
 2004,Other,Montserrat (British),60,0,0,0,60
 2004,Africa North,Morocco,"18,700",285,340,230,"17,800"
 2004,Africa Sub-Saharan,Mozambique,"1,370",20,60,10,"1,280"
 2004,Africa Sub-Saharan,Namibia,"4,670","1,360",75,20,"3,210"
 2004,Oceania,Nauru,80,0,*,0,75
 2004,Asia South,Nepal,"12,900",505,505,270,"11,700"
 2004,EU 14,Netherlands,z,z,z,z,z
 2004,America Central and South,Netherlands Antilles,0,0,0,0,0
 2004,Oceania,New Caledonia,0,0,0,0,0
 2004,Oceania,New Zealand,"280,000","8,760",385,530,"270,000"
 2004,America Central and South,Nicaragua,"1,120",*,40,5,"1,070"
 2004,Africa Sub-Saharan,Niger,295,10,15,*,265
 2004,Africa Sub-Saharan,Nigeria,"264,000","2,460","7,520","1,050","253,000"
 2004,Oceania,Niue,45,0,*,0,45
 2004,Oceania,Norfolk Island,0,0,0,0,0
 2004,Oceania,Northern Mariana Islands,0,0,0,0,0
 2004,Europe Other,Norway,z,z,z,z,z
 2004,Middle East,Occupied Palestinian Territories,"2,710",20,165,20,"2,510"
 2004,Middle East,Oman,"13,600",65,"1,380",30,"12,100"
 2004,Other,Other and unknown,"18,800",135,140,140,"18,400"
 2004,Asia South,Pakistan,"212,000","3,720","13,400","8,330","187,000"
 2004,Oceania,Palau,40,0,0,0,40
 2004,America Central and South,Panama,"2,690",20,145,15,"2,510"
 2004,Oceania,Papua New Guinea,370,10,35,5,325
 2004,America Central and South,Paraguay,"1,260",20,55,*,"1,190"
 2004,America Central and South,Peru,"10,400",105,420,110,"9,770"
 2004,Asia South East,Philippines,"102,000","11,600","1,720",950,"87,700"
 2004,Other,Pitcairn Islands (British),30,0,0,0,30
 2004,EU 8,Poland,"127,000","4,270","3,890",80,"119,000"
 2004,EU 14,Portugal,z,z,z,z,z
 2004,America North,Puerto Rico,0,0,0,0,0
 2004,Middle East,Qatar,"14,000",25,675,5,"13,300"
 2004,Other,Refugee,"56,900",35,110,115,"56,700"
 2004,Africa Sub-Saharan,Reunion,70,*,0,0,70
 2004,EU 2,Romania,"66,300","4,070","1,030",325,"60,900"
 2004,Europe Other,Russia,"193,000","4,560","13,300",695,"175,000"
 2004,Africa Sub-Saharan,Rwanda,"1,180",*,45,15,"1,120"
 2004,Oceania,Samoa,260,30,*,0,225
 2004,Europe Other,San Marino,795,0,5,0,785
 2004,Africa Sub-Saharan,Sao Tome and Principe,180,0,15,0,165
 2004,Middle East,Saudi Arabia,"50,000",440,"4,250",50,"45,300"
 2004,Africa Sub-Saharan,Senegal,"3,140",105,75,15,"2,940"
 2004,Europe Other,Serbia,z,z,z,z,z
 2004,Europe Other,Serbia and Montenegro,"36,200",360,"1,340",200,"34,300"
 2004,Africa Sub-Saharan,Seychelles,"4,400",50,100,20,"4,230"
 2004,Africa Sub-Saharan,Sierra Leone,"13,700",35,315,115,"13,200"
 2004,Asia South East,Singapore,"79,900",680,"1,800",110,"77,300"
 2004,EU 8,Slovakia,"21,300","1,220",825,15,"19,300"
 2004,EU 8,Slovenia,"9,320",50,90,0,"9,180"
 2004,Oceania,Solomon Islands,140,*,5,*,135
 2004,Africa Sub-Saharan,Somalia,"5,330",15,20,"1,040","4,250"
 2004,Africa Sub-Saharan,South Africa,"451,000","29,300",950,"1,310","420,000"
 2004,Other,South Georgia and South Sandwich Islands,0,0,0,0,0
 2004,EU 14,Spain,z,z,z,z,z
 2004,Asia South,Sri Lanka,"60,600","2,120","2,390","1,140","54,900"
 2004,Other,St. Helena (British),5,0,*,0,5
 2004,America Central and South,St. Kitts and Nevis,875,15,35,5,820
 2004,America Central and South,St. Lucia,"4,490",60,105,45,"4,280"
 2004,America Central and South,St. Maarten (Dutch Part),z,z,z,z,z
 2004,America Central and South,St. Martin (French Part),0,0,0,0,0
 2004,America Central and South,St. Pierre and Miquelon,0,0,0,0,0
 2004,America Central and South,St. Vincent and the Grenadines,"2,520",35,60,15,"2,420"
 2004,Other,Stateless,"3,400",5,20,*,"3,370"
 2004,Africa North,Sudan,"11,200",215,565,135,"10,200"
 2004,Africa Sub-Saharan,Sudan (South),z,z,z,z,z
 2004,America Central and South,Surinam,520,5,10,0,505
 2004,Europe Other,Svalbard and Jan Mayen,0,0,0,0,0
 2004,Africa Sub-Saharan,Swaziland,"1,470",205,50,5,"1,210"
 2004,EU 14,Sweden,z,z,z,z,z
 2004,Europe Other,Switzerland,z,z,z,z,z
 2004,Middle East,Syria,"11,400",170,700,90,"10,400"
 2004,Asia East,Taiwan,"53,800",285,"7,780",70,"45,700"
 2004,Asia Central,Tajikistan,505,10,65,5,425
 2004,Africa Sub-Saharan,Tanzania,"15,000",155,815,170,"13,900"
 2004,Asia South East,Thailand,"75,000","1,150","4,850","1,970","67,000"
 2004,Africa Sub-Saharan,Togo,975,15,35,15,910
 2004,Oceania,Tokelau,0,0,0,0,0
 2004,Oceania,Tonga,395,35,15,5,335
 2004,America Central and South,Trinidad and Tobago,"29,700",705,475,120,"28,400"
 2004,Africa North,Tunisia,"10,300",110,530,135,"9,470"
 2004,Europe Other,Turkey,"124,000","1,240","4,710","1,280","116,000"
 2004,Asia Central,Turkmenistan,"2,860",30,200,5,"2,620"
 2004,Other,Turks and Caicos Islands (British),30,*,5,*,25
 2004,Oceania,Tuvalu,95,0,*,*,95
 2004,Africa Sub-Saharan,Uganda,"17,500",145,870,120,"16,400"
 2004,Europe Other,Ukraine,"53,300","7,280","1,850",360,"43,800"
 2004,Middle East,United Arab Emirates,"40,400",160,"1,650",10,"38,600"
 2004,America North,United States,"4,050,000","23,900","64,100","2,050","3,960,000"
 2004,America Central and South,Uruguay,"4,990",50,80,10,"4,850"
 2004,Asia Central,Uzbekistan,"4,450",80,525,35,"3,810"
 2004,Oceania,Vanuatu,50,0,*,0,50
 2004,Europe Other,Vatican City,60,0,0,0,60
 2004,America Central and South,Venezuela,"22,300",170,"1,140",80,"20,900"
 2004,Asia South East,Vietnam,"9,060",430,"1,310",140,"7,190"
 2004,Other,Virgin Islands (British),0,0,0,0,0
 2004,America North,Virgin Islands (US),0,0,0,0,0
 2004,Oceania,Wallis and Futuna,0,0,0,0,0
 2004,Africa North,Western Sahara,0,0,0,0,0
 2004,Middle East,Yemen,"6,200",75,385,185,"5,560"
 2004,Africa Sub-Saharan,Zambia,"11,900",765,600,95,"10,500"
 2004,Africa Sub-Saharan,Zimbabwe,"51,400","2,220","1,070",690,"47,400"
 2005,*Total,*Total,"11,800,000","237,000","297,000","52,400","11,300,000"
 2005,Africa North,*Total Africa North,"123,000","1,550","6,490","1,250","113,000"
 2005,Africa Sub-Saharan,*Total Africa Sub-Saharan,"1,070,000","40,200","19,400","7,930","999,000"
 2005,America North,*Total America North,"4,780,000","34,800","77,000","3,170","4,660,000"
 2005,America Central and South,*Total America Central and South ,"537,000","6,930","24,400","2,550","503,000"
 2005,Asia Central,*Total Asia Central,"35,600",415,"3,610",830,"30,700"
 2005,Asia East,*Total Asia East,"1,200,000","11,000","64,400","1,690","1,120,000"
 2005,Asia South,*Total Asia South,"1,050,000","52,900","36,300","22,100","937,000"
 2005,Asia South East,*Total Asia South East,"473,000","17,200","17,600","3,890","435,000"
 2005,EU 14,*Total EU 14,z,z,z,z,z
 2005,EU 2,*Total EU 2,"155,000","10,400","1,820",690,"142,000"
 2005,EU 8,*Total EU 8,z,z,z,z,z
 2005,EU Other,*Total EU Other,"32,100",405,820,80,"30,800"
 2005,Europe Other,*Total Europe Other,"521,000","19,100","27,100","4,090","470,000"
 2005,Middle East,*Total Middle East,"495,000","3,060","15,500","1,910","474,000"
 2005,Oceania,*Total Oceania,"1,300,000","38,700","2,520","1,980","1,260,000"
 2005,Other,*Total Other,"82,500",170,530,265,"81,500"
 2005,Asia Central,Afghanistan,"8,910",60,85,700,"8,070"
 2005,Europe Other,Albania,"18,500",205,395,"1,130","16,800"
 2005,Africa North,Algeria,"23,700",105,290,275,"23,000"
 2005,Oceania,American Samoa,20,0,5,0,20
 2005,Europe Other,Andorra,960,*,20,0,940
 2005,Africa Sub-Saharan,Angola,"6,170",85,280,15,"5,790"
 2005,Other,Anguilla (British),20,*,0,0,20
 2005,America Central and South,Antigua and Barbuda,"2,350",10,30,15,"2,290"
 2005,America Central and South,Argentina,"40,900",925,900,100,"39,000"
 2005,Europe Other,Armenia,"2,540",100,160,15,"2,260"
 2005,America Central and South,Aruba,75,5,5,*,65
 2005,Oceania,Australia,"1,010,000","29,600","1,950","1,330","973,000"
 2005,EU 14,Austria,z,z,z,z,z
 2005,Europe Other,Azerbaijan,"8,450",100,405,50,"7,900"
 2005,America Central and South,"Bahamas, The","3,820",15,155,10,"3,640"
 2005,Middle East,Bahrain,"16,200",75,525,5,"15,600"
 2005,Asia South,Bangladesh,"54,800","3,480","3,450","3,650","44,300"
 2005,America Central and South,Barbados,"12,000",170,215,35,"11,500"
 2005,Europe Other,Belarus,"15,500","2,040",650,95,"12,700"
 2005,EU 14,Belgium,z,z,z,z,z
 2005,America Central and South,Belize,"1,360",15,45,5,"1,290"
 2005,Africa Sub-Saharan,Benin,790,15,25,5,740
 2005,Other,Bermuda (British),390,*,5,0,385
 2005,Asia South,Bhutan,225,5,25,*,195
 2005,America Central and South,Bolivia,"5,170",40,230,25,"4,880"
 2005,America Central and South,"Bonaire, Sint Eustatius and Saba",z,z,z,z,z
 2005,Europe Other,Bosnia and Herzegovina,"8,000",65,145,50,"7,740"
 2005,Africa Sub-Saharan,Botswana,"4,300",185,260,15,"3,840"
 2005,America Central and South,Brazil,"160,000","1,400","11,700",540,"146,000"
 2005,Other,British overseas citizens,"6,950",40,195,15,"6,710"
 2005,Asia South East,Brunei,"6,310",125,585,10,"5,590"
 2005,EU 2,Bulgaria,"74,100","5,020",830,280,"67,900"
 2005,Africa Sub-Saharan,Burkina,450,20,15,*,410
 2005,Asia South East,Burma,"3,370",90,355,35,"2,890"
 2005,Africa Sub-Saharan,Burundi,640,5,15,15,605
 2005,Asia South East,Cambodia,665,5,30,15,620
 2005,Africa Sub-Saharan,Cameroon,"9,680",135,375,95,"9,070"
 2005,America North,Canada,"901,000","7,860","6,430",625,"886,000"
 2005,Africa Sub-Saharan,Cape Verde,380,10,10,*,360
 2005,Other,Cayman Islands (British),170,0,5,0,165
 2005,Africa Sub-Saharan,Central African Republic,75,*,5,0,70
 2005,Africa Sub-Saharan,Chad,175,*,5,*,165
 2005,America Central and South,Chile,"22,900",230,915,65,"21,700"
 2005,Asia East,China,"252,000","4,030","21,700",755,"226,000"
 2005,Oceania,Christmas Island,0,0,0,0,0
 2005,Oceania,Cocos (Keeling) Islands,0,0,0,0,0
 2005,America Central and South,Colombia,"35,600",330,"2,920",335,"32,000"
 2005,Africa Sub-Saharan,Comoros,130,5,*,*,125
 2005,Africa Sub-Saharan,Congo,"6,090",45,70,110,"5,860"
 2005,Africa Sub-Saharan,Congo (Democratic Republic),"2,450",60,25,145,"2,210"
 2005,Oceania,Cook Islands,0,0,0,0,0
 2005,America Central and South,Costa Rica,"4,710",60,85,5,"4,560"
 2005,EU Other,Croatia,"32,100",405,820,80,"30,800"
 2005,America Central and South,Cuba,"4,700",375,50,95,"4,180"
 2005,America Central and South,Curacao,z,z,z,z,z
 2005,EU Other,Cyprus,z,z,z,z,z
 2005,Europe Other,Cyprus (Northern part of),"2,420",10,35,5,"2,370"
 2005,EU 8,Czech Republic,z,z,z,z,z
 2005,EU 14,Denmark,z,z,z,z,z
 2005,Africa Sub-Saharan,Djibouti,270,*,5,5,255
 2005,America Central and South,Dominica,"1,050",25,30,15,980
 2005,America Central and South,Dominican Republic,"2,990",40,60,45,"2,850"
 2005,Asia South East,East Timor,125,0,5,0,120
 2005,America Central and South,Ecuador,"7,760",55,370,80,"7,260"
 2005,Africa North,Egypt,"41,500",740,860,290,"39,600"
 2005,America Central and South,El Salvador,"1,950",20,65,5,"1,860"
 2005,Africa Sub-Saharan,Equatorial Guinea,310,0,15,*,295
 2005,Africa Sub-Saharan,Eritrea,"1,760",185,15,60,"1,500"
 2005,EU 8,Estonia,z,z,z,z,z
 2005,Africa Sub-Saharan,Ethiopia,"7,670",340,155,175,"7,000"
 2005,Other,Falkland Islands (British),10,*,0,0,5
 2005,Europe Other,Faroe Islands,755,0,5,0,750
 2005,Oceania,Fiji,"3,440",35,15,55,"3,340"
 2005,EU 14,Finland,z,z,z,z,z
 2005,Europe Other,Former Yugoslavia,z,z,z,z,z
 2005,EU 14,France,z,z,z,z,z
 2005,America Central and South,French Guiana,0,0,0,0,0
 2005,Oceania,French Polynesia,0,0,0,0,0
 2005,Africa Sub-Saharan,Gabon,635,25,25,5,580
 2005,Africa Sub-Saharan,"Gambia, The","10,600",65,505,215,"9,770"
 2005,Europe Other,Georgia,"6,380",145,470,20,"5,740"
 2005,EU 14,Germany,z,z,z,z,z
 2005,Africa Sub-Saharan,Ghana,"73,800","3,380","1,470",895,"68,100"
 2005,Other,Gibraltar (British),20,0,0,0,20
 2005,EU 14,Greece,z,z,z,z,z
 2005,Europe Other,Greenland,5,0,0,0,5
 2005,America Central and South,Grenada,"3,300",50,65,30,"3,150"
 2005,America Central and South,Guadeloupe,0,0,0,0,0
 2005,Oceania,Guam,0,0,0,0,0
 2005,America Central and South,Guatemala,"3,300",5,90,10,"3,200"
 2005,Africa Sub-Saharan,Guinea,"1,700",45,70,25,"1,560"
 2005,Africa Sub-Saharan,Guinea-Bissau,190,*,5,0,185
 2005,America Central and South,Guyana,"6,110",300,110,110,"5,590"
 2005,America Central and South,Haiti,580,5,10,5,565
 2005,Oceania,Heard Island and McDonald Islands,0,0,0,0,0
 2005,America Central and South,Honduras,"1,690",25,40,10,"1,610"
 2005,Asia East,Hong Kong,"107,000",780,"5,490",185,"101,000"
 2005,EU 8,Hungary,z,z,z,z,z
 2005,Europe Other,Iceland,z,z,z,z,z
 2005,Asia South,India,"687,000","42,900","19,900","6,270","617,000"
 2005,Asia South East,Indonesia,"25,100","1,520",775,150,"22,700"
 2005,Middle East,Iran,"50,200",270,"1,590",410,"48,000"
 2005,Middle East,Iraq,"12,300",45,210,495,"11,600"
 2005,EU 14,Ireland,z,z,z,z,z
 2005,Middle East,Israel,"173,000",805,"2,080",135,"170,000"
 2005,EU 14,Italy,z,z,z,z,z
 2005,Africa Sub-Saharan,Ivory Coast,"4,970",40,115,50,"4,760"
 2005,America Central and South,Jamaica,"22,300",870,280,440,"20,700"
 2005,Asia East,Japan,"563,000","4,540","19,100",500,"539,000"
 2005,Middle East,Jordan,"20,500",150,860,75,"19,400"
 2005,Asia Central,Kazakhstan,"14,400",220,"2,160",70,"12,000"
 2005,Africa Sub-Saharan,Kenya,"43,700",810,890,460,"41,500"
 2005,Oceania,Kiribati,145,0,5,0,140
 2005,Asia East,Korea (North),"1,520",*,25,0,"1,500"
 2005,Asia East,Korea (South),"219,000","1,360","10,700",130,"207,000"
 2005,Europe Other,Kosovo,z,z,z,z,z
 2005,Middle East,Kuwait,"60,200",150,875,35,"59,100"
 2005,Asia Central,Kyrgyzstan,"1,560",25,155,15,"1,370"
 2005,Asia South East,Laos,180,*,15,10,155
 2005,EU 8,Latvia,z,z,z,z,z
 2005,Middle East,Lebanon,"23,100",255,375,195,"22,300"
 2005,Africa Sub-Saharan,Lesotho,940,85,10,*,845
 2005,Africa Sub-Saharan,Liberia,"1,130",5,20,10,"1,100"
 2005,Africa North,Libya,"16,700",110,"4,030",55,"12,500"
 2005,Europe Other,Liechtenstein,z,z,z,z,z
 2005,EU 8,Lithuania,z,z,z,z,z
 2005,EU 14,Luxembourg,z,z,z,z,z
 2005,Asia East,Macau,815,10,85,10,710
 2005,Europe Other,Macedonia,"6,650",125,200,40,"6,290"
 2005,Africa Sub-Saharan,Madagascar,480,30,20,5,425
 2005,Africa Sub-Saharan,Malawi,"7,190",370,715,80,"6,020"
 2005,Asia South East,Malaysia,"176,000","2,040","7,120",290,"166,000"
 2005,Asia South,Maldives,"1,620",55,155,5,"1,410"
 2005,Africa Sub-Saharan,Mali,585,40,15,5,530
 2005,EU Other,Malta,z,z,z,z,z
 2005,Oceania,Marshall Islands,10,0,0,*,10
 2005,America Central and South,Martinique,0,0,0,0,0
 2005,Africa North,Mauritania,455,15,40,5,395
 2005,Africa Sub-Saharan,Mauritius,"35,700",410,"2,280",275,"32,800"
 2005,Africa Sub-Saharan,Mayotte,0,0,0,0,0
 2005,America Central and South,Mexico,"106,000",645,"3,410",140,"102,000"
 2005,Oceania,Micronesia,25,0,*,0,20
 2005,Europe Other,Moldova,"5,190","1,420",210,50,"3,520"
 2005,Europe Other,Monaco,750,5,25,*,720
 2005,Asia East,Mongolia,"2,770",55,200,25,"2,490"
 2005,Europe Other,Montenegro,z,z,z,z,z
 2005,Other,Montserrat (British),50,*,0,0,50
 2005,Africa North,Morocco,"19,200",245,310,325,"18,300"
 2005,Africa Sub-Saharan,Mozambique,"1,340",50,75,15,"1,200"
 2005,Africa Sub-Saharan,Namibia,"5,010",285,55,25,"4,640"
 2005,Oceania,Nauru,40,0,0,0,40
 2005,Asia South,Nepal,"16,300",655,665,"1,350","13,600"
 2005,EU 14,Netherlands,z,z,z,z,z
 2005,America Central and South,Netherlands Antilles,0,0,0,0,0
